From-To,Times
Chemistry-Geography,2
Chemistry-Geology,60
Chemistry-Geriatrics & Gerontology,11
Chemistry-Health Care Sciences & Services,3
Chemistry-Hematology,18
Chemistry-Imaging Science & Photographic Technology,12
Chemistry-Immunology,34
Chemistry-Infectious Diseases,15
Chemistry-Information Science & Library Science,1
Chemistry-Instruments & Instrumentation,136
Chemistry-Legal Medicine,15
Chemistry-Life Sciences & Biomedicine - Other Topics,28
Chemistry-Marine & Freshwater Biology,15
Chemistry-Materials Science,1951
Chemistry-Mathematical & Computational Biology,7
Chemistry-Mathematics,24
Chemistry-Mechanics,14
Chemistry-Medical Laboratory Technology,10
Chemistry-Metallurgy & Metallurgical Engineering,65
Chemistry-Meteorology & Atmospheric Sciences,159
Chemistry-Microbiology,38
Chemistry-Microscopy,15
Chemistry-Mineralogy,6
Chemistry-Mycology,3
Chemistry-Neurosciences & Neurology,62
Chemistry-Nuclear Science & Technology,44
Chemistry-Nursing,3
Chemistry-Nutrition & Dietetics,64
Chemistry-Obstetrics & Gynecology,7
Chemistry-Oceanography,4
Chemistry-Oncology,66
Chemistry-Operations Research & Management Science,1
Chemistry-Ophthalmology,23
Chemistry-Optics,413
Chemistry-Orthopedics,8
Chemistry-Otorhinolaryngology,6
Chemistry-Parasitology,3
Chemistry-Pathology,4
Chemistry-Pediatrics,9
Chemistry-Pharmacology & Pharmacy,509
Chemistry-Physical Geography,28
Chemistry-Physics,988
Chemistry-Physiology,11
Chemistry-Plant Sciences,108
Chemistry-Polymer Science,376
Chemistry-Psychiatry,4
Chemistry-Psychology,16
"Chemistry-Public, Environmental & Occupational Health",34
"Chemistry-Radiology, Nuclear Medicine & Medical Imaging",37
Chemistry-Remote Sensing,52
Chemistry-Reproductive Biology,2
Chemistry-Research & Experimental Medicine,62
Chemistry-Respiratory System,4
Chemistry-Rheumatology,10
Chemistry-Robotics,1
Chemistry-Science & Technology - Other Topics,1588
Chemistry-Sociology,3
Chemistry-Spectroscopy,93
Chemistry-Sport Sciences,4
Chemistry-Substance Abuse,2
Chemistry-Surgery,9
Chemistry-Telecommunications,11
Chemistry-Thermodynamics,102
Chemistry-Toxicology,31
Chemistry-Transplantation,2
Chemistry-Transportation,1
Chemistry-Urban Studies,1
Chemistry-Urology & Nephrology,7
Chemistry-Veterinary Sciences,7
Chemistry-Virology,20
Chemistry-Water Resources,9
Chemistry-Zoology,6
Classics-Classics,2
Communication-Acoustics,1
Communication-Agriculture,1
Communication-Anesthesiology,1
Communication-Anthropology,4
Communication-Area Studies,1
Communication-Art,2
Communication-Arts & Humanities - Other Topics,4
Communication-Behavioral Sciences,1
Communication-Business & Economics,58
Communication-Cardiovascular System & Cardiology,1
Communication-Cell Biology,1
Communication-Chemistry,1
Communication-Communication,983
Communication-Computer Science,33
Communication-Criminology & Penology,2
Communication-Cultural Studies,14
Communication-Demography,4
Communication-Education & Educational Research,22
Communication-Endocrinology & Metabolism,2
Communication-Energy & Fuels,1
Communication-Engineering,7
Communication-Environmental Sciences & Ecology,3
Communication-Ethnic Studies,3
"Communication-Film, Radio & Television",3
Communication-Food Science & Technology,1
Communication-Forestry,2
Communication-Gastroenterology & Hepatology,1
Communication-General & Internal Medicine,2
Communication-Genetics & Heredity,1
Communication-Geography,2
Communication-Geriatrics & Gerontology,2
Communication-Government & Law,7
Communication-Health Care Sciences & Services,6
Communication-History,2
Communication-History & Philosophy of Science,1
Communication-Immunology,1
Communication-Information Science & Library Science,21
Communication-International Relations,2
Communication-Linguistics,32
Communication-Literature,1
Communication-Materials Science,1
Communication-Medical Informatics,1
Communication-Neurosciences & Neurology,3
Communication-Nutrition & Dietetics,1
Communication-Otorhinolaryngology,2
Communication-Philosophy,1
Communication-Physics,1
Communication-Psychiatry,2
Communication-Psychology,32
Communication-Public Administration,5
"Communication-Public, Environmental & Occupational Health",7
Communication-Rehabilitation,3
Communication-Religion,5
Communication-Science & Technology - Other Topics,10
Communication-Social Issues,1
Communication-Social Sciences - Other Topics,12
Communication-Social Work,2
Communication-Sociology,11
Communication-Sport Sciences,1
Communication-Substance Abuse,7
Communication-Telecommunications,3
Computer Science-Acoustics,71
Computer Science-Agriculture,101
Computer Science-Allergy,4
Computer Science-Anesthesiology,6
Computer Science-Anthropology,1
Computer Science-Archaeology,1
Computer Science-Architecture,3
Computer Science-Art,14
Computer Science-Arts & Humanities - Other Topics,13
Computer Science-Astronomy & Astrophysics,31
Computer Science-Audiology & Speech-Language Pathology,3
Computer Science-Automation & Control Systems,128
Computer Science-Behavioral Sciences,12
Computer Science-Biochemistry & Molecular Biology,174
Computer Science-Biodiversity & Conservation,18
Computer Science-Biophysics,22
Computer Science-Biotechnology & Applied Microbiology,22
Computer Science-Business & Economics,265
Computer Science-Cardiovascular System & Cardiology,25
Computer Science-Cell Biology,13
Computer Science-Chemistry,97
Computer Science-Communication,37
Computer Science-Computer Science,18637
Computer Science-Construction & Building Technology,23
Computer Science-Criminology & Penology,2
Computer Science-Crystallography,1
Computer Science-Cultural Studies,7
"Computer Science-Dentistry, Oral Surgery & Medicine",6
Computer Science-Dermatology,1
Computer Science-Developmental Biology,2
Computer Science-Education & Educational Research,118
Computer Science-Electrochemistry,1
Computer Science-Emergency Medicine,3
Computer Science-Endocrinology & Metabolism,28
Computer Science-Energy & Fuels,23
Computer Science-Engineering,1287
Computer Science-Environmental Sciences & Ecology,109
Computer Science-Evolutionary Biology,2
Computer Science-Family Studies,1
Computer Science-Fisheries,2
Computer Science-Food Science & Technology,7
Computer Science-Forestry,19
Computer Science-Gastroenterology & Hepatology,9
Computer Science-General & Internal Medicine,23
Computer Science-Genetics & Heredity,31
Computer Science-Geochemistry & Geophysics,16
Computer Science-Geography,18
Computer Science-Geology,12
Computer Science-Geriatrics & Gerontology,10
Computer Science-Government & Law,6
Computer Science-Health Care Sciences & Services,42
Computer Science-Hematology,2
Computer Science-History,1
Computer Science-History & Philosophy of Science,1
Computer Science-Imaging Science & Photographic Technology,5
Computer Science-Immunology,4
Computer Science-Infectious Diseases,4
Computer Science-Information Science & Library Science,115
Computer Science-Instruments & Instrumentation,7
Computer Science-International Relations,2
Computer Science-Legal Medicine,1
Computer Science-Life Sciences & Biomedicine - Other Topics,42
Computer Science-Linguistics,9
Computer Science-Marine & Freshwater Biology,3
Computer Science-Materials Science,67
Computer Science-Mathematical & Computational Biology,26
Computer Science-Mathematical Methods In Social Sciences,2
Computer Science-Mathematics,288
Computer Science-Mechanics,14
Computer Science-Medical Informatics,16
Computer Science-Medical Laboratory Technology,1
Computer Science-Metallurgy & Metallurgical Engineering,9
Computer Science-Meteorology & Atmospheric Sciences,22
Computer Science-Microbiology,2
Computer Science-Microscopy,1
Computer Science-Music,3
Computer Science-Neurosciences & Neurology,135
Computer Science-Nuclear Science & Technology,7
Computer Science-Nursing,29
Computer Science-Nutrition & Dietetics,3
Computer Science-Obstetrics & Gynecology,7
Computer Science-Oceanography,3
Computer Science-Oncology,32
Computer Science-Operations Research & Management Science,43
Computer Science-Ophthalmology,20
Computer Science-Optics,46
Computer Science-Orthopedics,17
Computer Science-Otorhinolaryngology,6
Computer Science-Paleontology,2
Computer Science-Pathology,5
Computer Science-Pediatrics,4
Computer Science-Pharmacology & Pharmacy,4
Computer Science-Physical Geography,16
Computer Science-Physics,147
Computer Science-Physiology,12
Computer Science-Plant Sciences,7
Computer Science-Polymer Science,2
Computer Science-Psychiatry,10
Computer Science-Psychology,100
Computer Science-Public Administration,2
"Computer Science-Public, Environmental & Occupational Health",28
"Computer Science-Radiology, Nuclear Medicine & Medical Imaging",17
Computer Science-Rehabilitation,1
Computer Science-Remote Sensing,21
Computer Science-Research & Experimental Medicine,5
Computer Science-Rheumatology,2
Computer Science-Robotics,17
Computer Science-Science & Technology - Other Topics,250
Computer Science-Social Issues,1
Computer Science-Social Sciences - Other Topics,23
Computer Science-Social Work,6
Computer Science-Sociology,4
Computer Science-Spectroscopy,4
Computer Science-Sport Sciences,8
Computer Science-Surgery,9
Computer Science-Telecommunications,110
Computer Science-Thermodynamics,27
Computer Science-Toxicology,2
Computer Science-Transportation,12
Computer Science-Urology & Nephrology,4
Computer Science-Veterinary Sciences,1
Computer Science-Virology,1
Computer Science-Water Resources,6
Computer Science-Women's Studies,1
Computer Science-Zoology,3
Construction & Building Technology-Acoustics,9
Construction & Building Technology-Agriculture,4
Construction & Building Technology-Allergy,22
Construction & Building Technology-Anesthesiology,1
Construction & Building Technology-Anthropology,1
Construction & Building Technology-Architecture,10
Construction & Building Technology-Astronomy & Astrophysics,7
Construction & Building Technology-Audiology & Speech-Language Pathology,2
Construction & Building Technology-Automation & Control Systems,9
Construction & Building Technology-Biochemistry & Molecular Biology,5
Construction & Building Technology-Biophysics,6
Construction & Building Technology-Biotechnology & Applied Microbiology,6
Construction & Building Technology-Business & Economics,30
Construction & Building Technology-Cardiovascular System & Cardiology,1
Construction & Building Technology-Chemistry,19
Construction & Building Technology-Communication,2
Construction & Building Technology-Computer Science,17
Construction & Building Technology-Construction & Building Technology,2726
Construction & Building Technology-Crystallography,1
Construction & Building Technology-Dermatology,1
Construction & Building Technology-Education & Educational Research,4
Construction & Building Technology-Electrochemistry,4
Construction & Building Technology-Endocrinology & Metabolism,4
Construction & Building Technology-Energy & Fuels,48
Construction & Building Technology-Engineering,125
Construction & Building Technology-Entomology,1
Construction & Building Technology-Environmental Sciences & Ecology,80
Construction & Building Technology-Fisheries,2
Construction & Building Technology-Food Science & Technology,5
Construction & Building Technology-Forestry,11
Construction & Building Technology-General & Internal Medicine,2
Construction & Building Technology-Genetics & Heredity,1
Construction & Building Technology-Geochemistry & Geophysics,1
Construction & Building Technology-Geology,6
Construction & Building Technology-Geriatrics & Gerontology,4
Construction & Building Technology-Immunology,7
Construction & Building Technology-Infectious Diseases,4
Construction & Building Technology-Instruments & Instrumentation,10
Construction & Building Technology-Materials Science,32
Construction & Building Technology-Mathematics,3
Construction & Building Technology-Mechanics,6
Construction & Building Technology-Medical Laboratory Technology,2
Construction & Building Technology-Metallurgy & Metallurgical Engineering,4
Construction & Building Technology-Meteorology & Atmospheric Sciences,12
Construction & Building Technology-Mycology,5
Construction & Building Technology-Neurosciences & Neurology,6
Construction & Building Technology-Nuclear Science & Technology,3
Construction & Building Technology-Oncology,5
Construction & Building Technology-Operations Research & Management Science,3
Construction & Building Technology-Ophthalmology,1
Construction & Building Technology-Optics,3
Construction & Building Technology-Physical Geography,3
Construction & Building Technology-Physics,15
Construction & Building Technology-Physiology,1
Construction & Building Technology-Plant Sciences,5
Construction & Building Technology-Polymer Science,4
Construction & Building Technology-Psychiatry,1
Construction & Building Technology-Psychology,1
"Construction & Building Technology-Public, Environmental & Occupational Health",11
Construction & Building Technology-Respiratory System,6
Construction & Building Technology-Science & Technology - Other Topics,40
Construction & Building Technology-Social Sciences - Other Topics,1
Construction & Building Technology-Sport Sciences,1
Construction & Building Technology-Substance Abuse,5
Construction & Building Technology-Surgery,2
Construction & Building Technology-Thermodynamics,66
Construction & Building Technology-Toxicology,1
Construction & Building Technology-Transportation,1
Construction & Building Technology-Urban Studies,2
Construction & Building Technology-Water Resources,1
Criminology & Penology-Allergy,1
Criminology & Penology-Anesthesiology,2
Criminology & Penology-Anthropology,1
Criminology & Penology-Area Studies,1
Criminology & Penology-Audiology & Speech-Language Pathology,1
Criminology & Penology-Behavioral Sciences,3
Criminology & Penology-Biochemistry & Molecular Biology,2
Criminology & Penology-Business & Economics,7
Criminology & Penology-Cardiovascular System & Cardiology,2
Criminology & Penology-Communication,2
Criminology & Penology-Computer Science,3
Criminology & Penology-Criminology & Penology,1273
Criminology & Penology-Demography,2
Criminology & Penology-Education & Educational Research,4
Criminology & Penology-Endocrinology & Metabolism,2
Criminology & Penology-Environmental Sciences & Ecology,3
Criminology & Penology-Family Studies,14
Criminology & Penology-Food Science & Technology,1
Criminology & Penology-Forestry,1
Criminology & Penology-General & Internal Medicine,2
Criminology & Penology-Genetics & Heredity,2
Criminology & Penology-Geriatrics & Gerontology,1
Criminology & Penology-Government & Law,8
Criminology & Penology-Health Care Sciences & Services,4
Criminology & Penology-Information Science & Library Science,2
Criminology & Penology-International Relations,2
Criminology & Penology-Legal Medicine,7
Criminology & Penology-Mathematics,1
Criminology & Penology-Neurosciences & Neurology,15
Criminology & Penology-Nursing,6
Criminology & Penology-Oncology,2
Criminology & Penology-Pediatrics,3
Criminology & Penology-Pharmacology & Pharmacy,1
Criminology & Penology-Psychiatry,31
Criminology & Penology-Psychology,71
"Criminology & Penology-Public, Environmental & Occupational Health",10
Criminology & Penology-Respiratory System,1
Criminology & Penology-Science & Technology - Other Topics,4
Criminology & Penology-Social Issues,4
Criminology & Penology-Social Sciences - Other Topics,7
Criminology & Penology-Social Work,5
Criminology & Penology-Sociology,7
Criminology & Penology-Substance Abuse,12
Criminology & Penology-Surgery,1
Criminology & Penology-Urology & Nephrology,8
Crystallography-Agriculture,1
Crystallography-Astronomy & Astrophysics,2
Crystallography-Automation & Control Systems,2
Crystallography-Biochemistry & Molecular Biology,6
Crystallography-Biophysics,1
Crystallography-Chemistry,194
Crystallography-Computer Science,2
Crystallography-Crystallography,268
Crystallography-Electrochemistry,6
Crystallography-Energy & Fuels,1
Crystallography-Engineering,47
Crystallography-Environmental Sciences & Ecology,4
Crystallography-Food Science & Technology,1
Crystallography-Instruments & Instrumentation,3
Crystallography-Materials Science,37
Crystallography-Metallurgy & Metallurgical Engineering,2
Crystallography-Meteorology & Atmospheric Sciences,1
Crystallography-Neurosciences & Neurology,2
Crystallography-Nuclear Science & Technology,3
Crystallography-Optics,8
Crystallography-Pharmacology & Pharmacy,8
Crystallography-Physics,45
Crystallography-Plant Sciences,1
Crystallography-Polymer Science,3
Crystallography-Science & Technology - Other Topics,29
Crystallography-Spectroscopy,1
Crystallography-Sport Sciences,1
Cultural Studies-Anthropology,3
Cultural Studies-Arts & Humanities - Other Topics,3
Cultural Studies-Behavioral Sciences,1
Cultural Studies-Business & Economics,6
Cultural Studies-Chemistry,1
Cultural Studies-Communication,8
Cultural Studies-Computer Science,4
Cultural Studies-Cultural Studies,151
Cultural Studies-Demography,1
Cultural Studies-Education & Educational Research,11
Cultural Studies-Engineering,1
Cultural Studies-Environmental Sciences & Ecology,3
"Cultural Studies-Film, Radio & Television",2
Cultural Studies-Forestry,1
Cultural Studies-Geography,1
Cultural Studies-Government & Law,1
Cultural Studies-History & Philosophy of Science,1
Cultural Studies-Information Science & Library Science,2
Cultural Studies-International Relations,1
Cultural Studies-Linguistics,3
Cultural Studies-Nursing,1
Cultural Studies-Philosophy,1
Cultural Studies-Religion,4
Cultural Studies-Science & Technology - Other Topics,2
Cultural Studies-Social Sciences - Other Topics,2
Cultural Studies-Social Work,1
Cultural Studies-Sociology,2
Cultural Studies-Substance Abuse,1
Cultural Studies-Telecommunications,1
Cultural Studies-Women's Studies,4
Dance-Dance,5
Dance-Music,1
Dance-Psychology,1
Demography-Anthropology,3
Demography-Arts & Humanities - Other Topics,1
Demography-Business & Economics,17
Demography-Cardiovascular System & Cardiology,1
Demography-Communication,1
Demography-Criminology & Penology,2
Demography-Cultural Studies,1
Demography-Demography,245
"Demography-Dentistry, Oral Surgery & Medicine",1
Demography-Education & Educational Research,1
Demography-Environmental Sciences & Ecology,2
Demography-Family Studies,2
Demography-General & Internal Medicine,1
Demography-Genetics & Heredity,6
Demography-Geography,1
Demography-Geriatrics & Gerontology,7
Demography-Government & Law,2
Demography-Health Care Sciences & Services,3
Demography-History,1
Demography-Life Sciences & Biomedicine - Other Topics,1
Demography-Mathematics,1
Demography-Neurosciences & Neurology,2
Demography-Nursing,2
Demography-Obstetrics & Gynecology,1
Demography-Psychiatry,1
Demography-Psychology,8
Demography-Public Administration,1
"Demography-Public, Environmental & Occupational Health",32
Demography-Science & Technology - Other Topics,6
Demography-Social Issues,1
Demography-Social Sciences - Other Topics,4
Demography-Sociology,12
Demography-Substance Abuse,1
Demography-Urology & Nephrology,1
"Dentistry, Oral Surgery & Medicine-Acoustics",2
"Dentistry, Oral Surgery & Medicine-Agriculture",8
"Dentistry, Oral Surgery & Medicine-Allergy",6
"Dentistry, Oral Surgery & Medicine-Anatomy & Morphology",1
"Dentistry, Oral Surgery & Medicine-Anesthesiology",17
"Dentistry, Oral Surgery & Medicine-Anthropology",4
"Dentistry, Oral Surgery & Medicine-Astronomy & Astrophysics",11
"Dentistry, Oral Surgery & Medicine-Audiology & Speech-Language Pathology",3
"Dentistry, Oral Surgery & Medicine-Behavioral Sciences",3
"Dentistry, Oral Surgery & Medicine-Biochemistry & Molecular Biology",58
"Dentistry, Oral Surgery & Medicine-Biophysics",15
"Dentistry, Oral Surgery & Medicine-Biotechnology & Applied Microbiology",32
"Dentistry, Oral Surgery & Medicine-Business & Economics",10
"Dentistry, Oral Surgery & Medicine-Cardiovascular System & Cardiology",40
"Dentistry, Oral Surgery & Medicine-Cell Biology",40
"Dentistry, Oral Surgery & Medicine-Chemistry",32
"Dentistry, Oral Surgery & Medicine-Communication",1
"Dentistry, Oral Surgery & Medicine-Computer Science",5
"Dentistry, Oral Surgery & Medicine-Dentistry, Oral Surgery & Medicine",36197
"Dentistry, Oral Surgery & Medicine-Dermatology",10
"Dentistry, Oral Surgery & Medicine-Developmental Biology",8
"Dentistry, Oral Surgery & Medicine-Education & Educational Research",2
"Dentistry, Oral Surgery & Medicine-Endocrinology & Metabolism",54
"Dentistry, Oral Surgery & Medicine-Energy & Fuels",1
"Dentistry, Oral Surgery & Medicine-Engineering",127
"Dentistry, Oral Surgery & Medicine-Environmental Sciences & Ecology",20
"Dentistry, Oral Surgery & Medicine-Food Science & Technology",3
"Dentistry, Oral Surgery & Medicine-Forestry",5
"Dentistry, Oral Surgery & Medicine-Gastroenterology & Hepatology",13
"Dentistry, Oral Surgery & Medicine-General & Internal Medicine",65
"Dentistry, Oral Surgery & Medicine-Genetics & Heredity",42
"Dentistry, Oral Surgery & Medicine-Geochemistry & Geophysics",4
"Dentistry, Oral Surgery & Medicine-Geography",1
"Dentistry, Oral Surgery & Medicine-Geology",2
"Dentistry, Oral Surgery & Medicine-Geriatrics & Gerontology",22
"Dentistry, Oral Surgery & Medicine-Health Care Sciences & Services",20
"Dentistry, Oral Surgery & Medicine-Hematology",6
"Dentistry, Oral Surgery & Medicine-Immunology",47
"Dentistry, Oral Surgery & Medicine-Infectious Diseases",16
"Dentistry, Oral Surgery & Medicine-Instruments & Instrumentation",6
"Dentistry, Oral Surgery & Medicine-Legal Medicine",4
"Dentistry, Oral Surgery & Medicine-Life Sciences & Biomedicine - Other Topics",2
"Dentistry, Oral Surgery & Medicine-Linguistics",1
"Dentistry, Oral Surgery & Medicine-Marine & Freshwater Biology",1
"Dentistry, Oral Surgery & Medicine-Materials Science",32
"Dentistry, Oral Surgery & Medicine-Mathematical & Computational Biology",2
"Dentistry, Oral Surgery & Medicine-Mathematics",2
"Dentistry, Oral Surgery & Medicine-Mechanics",3
"Dentistry, Oral Surgery & Medicine-Medical Informatics",1
"Dentistry, Oral Surgery & Medicine-Medical Laboratory Technology",3
"Dentistry, Oral Surgery & Medicine-Metallurgy & Metallurgical Engineering",1
"Dentistry, Oral Surgery & Medicine-Meteorology & Atmospheric Sciences",6
"Dentistry, Oral Surgery & Medicine-Microbiology",32
"Dentistry, Oral Surgery & Medicine-Microscopy",3
"Dentistry, Oral Surgery & Medicine-Mycology",2
"Dentistry, Oral Surgery & Medicine-Neurosciences & Neurology",87
"Dentistry, Oral Surgery & Medicine-Nursing",9
"Dentistry, Oral Surgery & Medicine-Nutrition & Dietetics",12
"Dentistry, Oral Surgery & Medicine-Obstetrics & Gynecology",10
"Dentistry, Oral Surgery & Medicine-Oncology",111
"Dentistry, Oral Surgery & Medicine-Ophthalmology",12
"Dentistry, Oral Surgery & Medicine-Optics",2
"Dentistry, Oral Surgery & Medicine-Orthopedics",17
"Dentistry, Oral Surgery & Medicine-Otorhinolaryngology",72
"Dentistry, Oral Surgery & Medicine-Pathology",29
"Dentistry, Oral Surgery & Medicine-Pediatrics",20
"Dentistry, Oral Surgery & Medicine-Pharmacology & Pharmacy",17
"Dentistry, Oral Surgery & Medicine-Physics",20
"Dentistry, Oral Surgery & Medicine-Physiology",4
"Dentistry, Oral Surgery & Medicine-Plant Sciences",3
"Dentistry, Oral Surgery & Medicine-Polymer Science",4
"Dentistry, Oral Surgery & Medicine-Psychiatry",21
"Dentistry, Oral Surgery & Medicine-Psychology",22
"Dentistry, Oral Surgery & Medicine-Public, Environmental & Occupational Health",54
"Dentistry, Oral Surgery & Medicine-Radiology, Nuclear Medicine & Medical Imaging",17
"Dentistry, Oral Surgery & Medicine-Rehabilitation",6
"Dentistry, Oral Surgery & Medicine-Reproductive Biology",1
"Dentistry, Oral Surgery & Medicine-Research & Experimental Medicine",14
"Dentistry, Oral Surgery & Medicine-Respiratory System",4
"Dentistry, Oral Surgery & Medicine-Rheumatology",20
"Dentistry, Oral Surgery & Medicine-Science & Technology - Other Topics",89
"Dentistry, Oral Surgery & Medicine-Social Sciences - Other Topics",3
"Dentistry, Oral Surgery & Medicine-Social Work",1
"Dentistry, Oral Surgery & Medicine-Sport Sciences",9
"Dentistry, Oral Surgery & Medicine-Substance Abuse",25
"Dentistry, Oral Surgery & Medicine-Surgery",35
"Dentistry, Oral Surgery & Medicine-Telecommunications",1
"Dentistry, Oral Surgery & Medicine-Toxicology",2
"Dentistry, Oral Surgery & Medicine-Transplantation",2
"Dentistry, Oral Surgery & Medicine-Urology & Nephrology",4
"Dentistry, Oral Surgery & Medicine-Veterinary Sciences",2
"Dentistry, Oral Surgery & Medicine-Virology",2
"Dentistry, Oral Surgery & Medicine-Zoology",1
Dermatology-Acoustics,1
Dermatology-Agriculture,2
Dermatology-Allergy,51
Dermatology-Anatomy & Morphology,1
Dermatology-Anesthesiology,2
Dermatology-Astronomy & Astrophysics,3
Dermatology-Biochemistry & Molecular Biology,40
Dermatology-Biophysics,2
Dermatology-Biotechnology & Applied Microbiology,5
Dermatology-Cardiovascular System & Cardiology,10
Dermatology-Cell Biology,21
Dermatology-Chemistry,1
Dermatology-Computer Science,2
"Dermatology-Dentistry, Oral Surgery & Medicine",12
Dermatology-Dermatology,9122
Dermatology-Developmental Biology,1
Dermatology-Endocrinology & Metabolism,21
Dermatology-Engineering,5
Dermatology-Environmental Sciences & Ecology,6
Dermatology-Forestry,2
Dermatology-Gastroenterology & Hepatology,33
Dermatology-General & Internal Medicine,19
Dermatology-Genetics & Heredity,56
Dermatology-Geochemistry & Geophysics,1
Dermatology-Geriatrics & Gerontology,7
Dermatology-Health Care Sciences & Services,9
Dermatology-Hematology,12
Dermatology-Immunology,17
Dermatology-Infectious Diseases,8
Dermatology-Instruments & Instrumentation,1
Dermatology-Legal Medicine,2
Dermatology-Linguistics,1
Dermatology-Materials Science,2
Dermatology-Metallurgy & Metallurgical Engineering,1
Dermatology-Meteorology & Atmospheric Sciences,5
Dermatology-Microbiology,4
Dermatology-Neurosciences & Neurology,21
Dermatology-Nursing,1
Dermatology-Nutrition & Dietetics,14
Dermatology-Obstetrics & Gynecology,6
Dermatology-Oncology,94
Dermatology-Ophthalmology,5
Dermatology-Orthopedics,5
Dermatology-Otorhinolaryngology,5
Dermatology-Parasitology,1
Dermatology-Pathology,21
Dermatology-Pediatrics,6
Dermatology-Pharmacology & Pharmacy,6
Dermatology-Physics,5
Dermatology-Plant Sciences,1
Dermatology-Psychiatry,8
Dermatology-Psychology,2
"Dermatology-Public, Environmental & Occupational Health",15
"Dermatology-Radiology, Nuclear Medicine & Medical Imaging",3
Dermatology-Remote Sensing,1
Dermatology-Research & Experimental Medicine,7
Dermatology-Respiratory System,3
Dermatology-Rheumatology,14
Dermatology-Science & Technology - Other Topics,63
Dermatology-Surgery,11
Dermatology-Toxicology,3
Dermatology-Transplantation,2
Dermatology-Urology & Nephrology,5
Dermatology-Veterinary Sciences,2
Dermatology-Virology,6
Developmental Biology-Acoustics,2
Developmental Biology-Agriculture,4
Developmental Biology-Allergy,1
Developmental Biology-Anatomy & Morphology,9
Developmental Biology-Anesthesiology,3
Developmental Biology-Anthropology,4
Developmental Biology-Astronomy & Astrophysics,1
Developmental Biology-Audiology & Speech-Language Pathology,1
Developmental Biology-Biochemistry & Molecular Biology,48
Developmental Biology-Biophysics,1
Developmental Biology-Biotechnology & Applied Microbiology,9
Developmental Biology-Cardiovascular System & Cardiology,13
Developmental Biology-Cell Biology,69
Developmental Biology-Chemistry,3
Developmental Biology-Computer Science,1
"Developmental Biology-Dentistry, Oral Surgery & Medicine",9
Developmental Biology-Dermatology,4
Developmental Biology-Developmental Biology,3322
Developmental Biology-Endocrinology & Metabolism,21
Developmental Biology-Engineering,2
Developmental Biology-Environmental Sciences & Ecology,10
Developmental Biology-Evolutionary Biology,6
Developmental Biology-Food Science & Technology,1
Developmental Biology-Gastroenterology & Hepatology,3
Developmental Biology-General & Internal Medicine,4
Developmental Biology-Genetics & Heredity,44
Developmental Biology-Geology,4
Developmental Biology-Geriatrics & Gerontology,1
Developmental Biology-Hematology,6
Developmental Biology-Immunology,5
Developmental Biology-Infectious Diseases,2
Developmental Biology-Life Sciences & Biomedicine - Other Topics,9
Developmental Biology-Materials Science,4
Developmental Biology-Microbiology,2
Developmental Biology-Neurosciences & Neurology,20
Developmental Biology-Obstetrics & Gynecology,13
Developmental Biology-Oncology,23
Developmental Biology-Ophthalmology,1
Developmental Biology-Optics,1
Developmental Biology-Otorhinolaryngology,2
Developmental Biology-Pathology,3
Developmental Biology-Pediatrics,11
Developmental Biology-Pharmacology & Pharmacy,4
Developmental Biology-Physics,1
Developmental Biology-Physiology,2
Developmental Biology-Plant Sciences,5
Developmental Biology-Polymer Science,1
Developmental Biology-Psychiatry,1
Developmental Biology-Psychology,12
"Developmental Biology-Public, Environmental & Occupational Health",5
Developmental Biology-Reproductive Biology,12
Developmental Biology-Research & Experimental Medicine,9
Developmental Biology-Respiratory System,4
Developmental Biology-Rheumatology,1
Developmental Biology-Science & Technology - Other Topics,73
Developmental Biology-Surgery,2
Developmental Biology-Thermodynamics,1
Developmental Biology-Toxicology,6
Developmental Biology-Transplantation,2
Developmental Biology-Urology & Nephrology,6
Developmental Biology-Virology,1
Developmental Biology-Water Resources,1
Education & Educational Research-Acoustics,1
Education & Educational Research-Agriculture,11
Education & Educational Research-Allergy,2
Education & Educational Research-Anatomy & Morphology,1
Education & Educational Research-Anesthesiology,2
Education & Educational Research-Anthropology,2
Education & Educational Research-Archaeology,1
Education & Educational Research-Area Studies,1
Education & Educational Research-Art,12
Education & Educational Research-Arts & Humanities - Other Topics,4
Education & Educational Research-Astronomy & Astrophysics,7
Education & Educational Research-Audiology & Speech-Language Pathology,23
Education & Educational Research-Automation & Control Systems,3
Education & Educational Research-Behavioral Sciences,16
Education & Educational Research-Biochemistry & Molecular Biology,9
Education & Educational Research-Biodiversity & Conservation,1
Education & Educational Research-Biophysics,1
Education & Educational Research-Biotechnology & Applied Microbiology,8
Education & Educational Research-Business & Economics,95
Education & Educational Research-Cardiovascular System & Cardiology,9
Education & Educational Research-Cell Biology,8
Education & Educational Research-Chemistry,18
Education & Educational Research-Communication,19
Education & Educational Research-Computer Science,88
Education & Educational Research-Construction & Building Technology,2
Education & Educational Research-Criminology & Penology,6
Education & Educational Research-Cultural Studies,7
Education & Educational Research-Dance,1
Education & Educational Research-Demography,3
"Education & Educational Research-Dentistry, Oral Surgery & Medicine",3
Education & Educational Research-Education & Educational Research,9733
Education & Educational Research-Emergency Medicine,3
Education & Educational Research-Endocrinology & Metabolism,7
Education & Educational Research-Energy & Fuels,4
Education & Educational Research-Engineering,23
Education & Educational Research-Environmental Sciences & Ecology,22
Education & Educational Research-Ethnic Studies,3
